starting scheduler on Core : 0
Task C1 on 0, Pri = 2, Tick = 22135
Task C0 on 1, Pri = 1, Tick = 22138
Task C2 on 1, Pri = 3, Tick = 22635
Task C1 on 0, Pri = 2, Tick = 22638
Task C0 on 1, Pri = 1, Tick = 22641
Task C2 on 1, Pri = 3, Tick = 23138
Task C1 on 0, Pri = 2, Tick = 23141
Task C0 on 1, Pri = 1, Tick = 23144
Task C2 on 1, Pri = 3, Tick = 23641
Task C1 on 0, Pri = 2, Tick = 23644
Task C0 on 1, Pri = 1, Tick = 23647
Task C2 on 1, Pri = 3, Tick = 24144
Task C1 on 0, Pri = 2, Tick = 24147
Task C0 on 1, Pri = 1, Tick = 24150
Task C2 on 1, Pri = 3, Tick = 24647
Task C1 on 0, Pri = 2, Tick = 24650
Task C0 on 1, Pri = 1, Tick = 24653
Task C2 on 1, Pri = 3, Tick = 25150
Task C1 on 0, Pri = 2, Tick = 25153
Task C0 on 1, Pri = 1, Tick = 25156
Task C2 on 1, Pri = 3, Tick = 25653
Task C1 on 0, Pri = 2, Tick = 25656
Task C0 on 1, Pri = 1, Tick = 25659
Task C2 on 1, Pri = 3, Tick = 26156
Task C1 on 0, Pri = 2, Tick = 26159
Task C0 on 1, Pri = 1, Tick = 26162
Task C2 on 1, Pri = 3, Tick = 26659
Task C1 on 0, Pri = 2, Tick = 26662
Task C0 on 1, Pri = 1, Tick = 26665
Task C2 on 1, Pri = 3, Tick = 27162
Task C1 on 0, Pri = 2, Tick = 27165
Task C0 on 1, Pri = 1, Tick = 27168
Task C2 on 1, Pri = 3, Tick = 27665
Task C1 on 0, Pri = 2, Tick = 27668
Task C0 on 1, Pri = 1, Tick = 27671
Task C2 on 1, Pri = 3, Tick = 28168
Task C1 on 0, Pri = 2, Tick = 28171
Task C0 on 1, Pri = 1, Tick = 28174
Task C2 on 1, Pri = 3, Tick = 28671
Task C1 on 0, Pri = 2, Tick = 28674
Task C0 on 1, Pri = 1, Tick = 28677
Task C2 on 1, Pri = 3, Tick = 29174
Task C1 on 0, Pri = 2, Tick = 29177
Task C0 on 1, Pri = 1, Tick = 29180
Task C2 on 1, Pri = 3, Tick = 29677
Task C1 on 0, Pri = 2, Tick = 29680
Task C0 on 1, Pri = 1, Tick = 29683
Task C2 on 1, Pri = 3, Tick = 30180
Task C1 on 0, Pri = 2, Tick = 30183
Task C0 on 1, Pri = 1, Tick = 30186
Task C2 on 1, Pri = 3, Tick = 30683
Task C1 on 0, Pri = 2, Tick = 30686
Task C0 on 1, Pri = 1, Tick = 30689
Task C2 on 1, Pri = 3, Tick = 31186
Task C1 on 0, Pri = 2, Tick = 31189
Task C0 on 1, Pri = 1, Tick = 31192
Task C2 on 1, Pri = 3, Tick = 31689
Task C1 on 0, Pri = 2, Tick = 31692
Task C0 on 1, Pri = 1, Tick = 31695
Task C2 on 1, Pri = 3, Tick = 32192
Task C1 on 0, Pri = 2, Tick = 32195
Task C0 on 1, Pri = 1, Tick = 32198
Task C2 on 1, Pri = 3, Tick = 32695
Task C1 on 0, Pri = 2, Tick = 32698
Task C0 on 1, Pri = 1, Tick = 32701
Task C2 on 1, Pri = 3, Tick = 33198
Task C1 on 0, Pri = 2, Tick = 33201
Task C0 on 1, Pri = 1, Tick = 33204
Task C2 on 1, Pri = 3, Tick = 33701
Task C1 on 0, Pri = 2, Tick = 33704
Task C0 on 1, Pri = 1, Tick = 33707
Task C2 on 1, Pri = 3, Tick = 34204
Task C1 on 0, Pri = 2, Tick = 34207
Task C0 on 1, Pri = 1, Tick = 34210
Task C2 on 1, Pri = 3, Tick = 34707
Task C1 on 0, Pri = 2, Tick = 34710
Task C0 on 1, Pri = 1, Tick = 34713
Task C2 on 1, Pri = 3, Tick = 35210
Task C1 on 0, Pri = 2, Tick = 35213
Task C0 on 1, Pri = 1, Tick = 35216
Task C2 on 1, Pri = 3, Tick = 35713
Task C1 on 0, Pri = 2, Tick = 35716
Task C0 on 1, Pri = 1, Tick = 35719
Task C2 on 1, Pri = 3, Tick = 36216
Task C1 on 0, Pri = 2, Tick = 36219
Task C0 on 1, Pri = 1, Tick = 36222
Task C2 on 1, Pri = 3, Tick = 36719
Task C1 on 0, Pri = 2, Tick = 36722
